 l_english:
  FIN_focus:0 "Finland Focus tree"
  Equal_rights:0 "Equal Rights"
  Equal_rights_desc:0 "Finland has been one of the most equal places in all of Europe for all genders."
  Sisu:0 "Sisu"
  Stagnating_Economy:0 "Stagnating Economy"
  Stagnating_Economy_desc:0 "Finnish economy has been stagnating for a very long time. The GDP has had almost no growth since 2000s, with Finland falling behind the rest of the Nordics. "
  Reviving_Economy:0 "Reviving Economy"
  Reviving_Economy2:0 "Reviving Economy"
  Recovering_Economy:0 "Recovering Economy"
  Recovering_Economy2:0 "Recovering Economy"
  Growing_Economy:0 "Growing Economy"
  Accelerating_Economy:0 "Accelerating Economy"
  Expanding_Economy:0 "Expanding Economy"
  Surging_Economy:0 "Surging Economy"
  Surging_Economy2:0 "Surging Economy"
  Booming_Economy:0 "Booming Economy"
  Orpon_hallitus:0 "Orpo's Government"
  Orpon_hallitus_desc:0 "Orpo cabinet is the 77th cabinet of Finland, formed after the 2023 elections. It consists of Kokoomus, Perussuomalaiset, Kristillisdemokraatit and Swedes party. The cabinet is a centre-right coalition, with Orpo as the Prime Minister."
  Orpon_hallitus_desc:0 "Orpo cabinet is the 77th  "
  Prepared_for_war:0 "Prepared for War"
  Prepare_for_future_wars:0 "Prepare for future wars"
